slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
jaganpro-sf-skills,claudemarketplaces,plugins,L3,0.9980,0.0273,0.9979,0.0146,0.9046,8192,False
alonw0-web-asset-generator,claudemarketplaces,plugins,L1,0.9960,0.0002,0.0006,0.0007,0.0032,8192,False
palkan-skills,claudemarketplaces,plugins,L0,0.8251,0.0003,0.0004,0.0002,0.0003,3028,False
davidfowl-dotnet-skillz,claudemarketplaces,plugins,L1,0.9260,0.0001,0.0011,0.0005,0.4791,1430,False
shinpr-claude-code-workflows,claudemarketplaces,plugins,L1,0.9974,0.0003,0.0002,0.0002,0.0262,8192,False
tzachbon-smart-ralph,claudemarketplaces,plugins,L1,0.9970,0.0006,0.0002,0.0004,0.0039,8192,False
iamzhihuix-happy-claude-skills,claudemarketplaces,plugins,L2,0.9967,0.0064,0.0233,0.0402,0.9536,8192,False
umputun-cc-thingz,claudemarketplaces,plugins,L1,0.9940,0.0002,0.0006,0.0004,0.0146,8192,False
emsi-mymanus,claudemarketplaces,plugins,L1,0.9961,0.0001,0.0001,0.0003,0.0061,1993,False
sudocode-ai-sudocode,claudemarketplaces,plugins,L1,0.9886,0.0002,0.0003,0.0005,0.0031,8192,False
kingbootoshi-codex-orchestrator,claudemarketplaces,plugins,L3,0.9978,0.0180,0.9938,0.0077,0.9426,8192,False
partme-ai-full-stack-skills,claudemarketplaces,plugins,L1,0.9944,0.0002,0.0003,0.0004,0.0077,8192,False
boshu2-agentops,claudemarketplaces,plugins,L2,0.8470,0.0013,0.0652,0.0035,0.5317,8192,False
firecrawl-cli,claudemarketplaces,plugins,L1,0.9920,0.0008,0.0007,0.0055,0.4899,8192,False
madappgang-claude-code,claudemarketplaces,plugins,L1,0.9845,0.0002,0.0005,0.0002,0.0092,8192,False
