slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
douglance-devsql,claudemarketplaces,plugins,0.0000,0,5643,False
tractorjuice-arc-kit,claudemarketplaces,plugins,0.0014,0,6000,False
lerianstudio-ring,claudemarketplaces,plugins,0.0013,0,6000,False
alekspetrov-navigator,claudemarketplaces,plugins,0.0016,0,5592,False
ed3dai-ed3d-plugins,claudemarketplaces,plugins,0.0000,0,5224,False
akin-ozer-cc-devops-skills,claudemarketplaces,plugins,0.0000,0,6000,False
whawkinsiv-solo-founder-superpowers,claudemarketplaces,plugins,0.0000,0,6000,False
nakanosanku-ohmyskills,claudemarketplaces,plugins,0.0001,0,6000,False
e2e-test-quest-uuv,claudemarketplaces,plugins,0.0104,0,6000,False
marcusquinn-aidevops,claudemarketplaces,plugins,0.0002,0,6000,False
minipuft-claude-prompts,claudemarketplaces,plugins,0.0458,0,6000,False
boostvolt-claude-code-lsps,claudemarketplaces,plugins,0.0000,0,6000,False
dylantmoore-stata-skill,claudemarketplaces,plugins,0.0000,0,4656,False
yonatangross-orchestkit,claudemarketplaces,plugins,0.9907,1,6000,False
gtmagents-gtm-agents,claudemarketplaces,plugins,0.0004,0,6000,False
lc2panda-wps-skills,claudemarketplaces,plugins,0.0003,0,2643,False
getsentry-dotagents,claudemarketplaces,plugins,0.0000,0,3965,False
ggprompts-tabzchrome,claudemarketplaces,plugins,0.0009,0,6000,False
ajobi-uhc-seer,claudemarketplaces,plugins,0.0001,0,6000,False
molefrog-skills,claudemarketplaces,plugins,0.9994,1,2690,False
georgeguimaraes-claude-code-elixir,claudemarketplaces,plugins,0.0000,0,6000,False
flora131-atomic,claudemarketplaces,plugins,0.0008,0,6000,False
elvismdev-claude-wordpress-skills,claudemarketplaces,plugins,0.0001,0,5636,False
eyadkelleh-awesome-claude-skills-security,claudemarketplaces,plugins,0.0000,0,6000,False
team-attention-hoyeon,claudemarketplaces,plugins,0.0102,0,6000,False
thebushidocollective-han,claudemarketplaces,plugins,0.0001,0,3449,False
conorluddy-xclaude-plugin,claudemarketplaces,plugins,0.0001,0,6000,False
medusajs-medusa-agent-skills,claudemarketplaces,plugins,0.0000,0,2608,False
romiluz13-cc10x,claudemarketplaces,plugins,0.0009,0,6000,False
team-attention-agent-council,claudemarketplaces,plugins,0.0000,0,6000,False
kenneth-liao-ai-launchpad-marketplace,claudemarketplaces,plugins,0.0000,0,2056,False
yusukebe-hono-skill,claudemarketplaces,plugins,0.0000,0,1183,False
hoangnb24-skills,claudemarketplaces,plugins,0.0000,0,6000,False
blencorp-lisa,claudemarketplaces,plugins,0.0002,0,6000,False
willibrandon-pixel-plugin,claudemarketplaces,plugins,0.0000,0,6000,False
abagames-slash-criticalthink,claudemarketplaces,plugins,0.0020,0,6000,False
vvkmnn-claude-emporium,claudemarketplaces,plugins,0.9968,1,6000,False
ascorbic-macrodata,claudemarketplaces,plugins,0.0005,0,4268,False
obra-superpowers-developing-for-claude-code,claudemarketplaces,plugins,0.0000,0,3110,False
veelenga-claude-mermaid,claudemarketplaces,plugins,0.0002,0,6000,False
ahmedasmar-devops-claude-skills,claudemarketplaces,plugins,0.0001,0,5710,False
techdufus-oh-my-claude,claudemarketplaces,plugins,0.9451,1,6000,False
jamesrochabrun-skills,claudemarketplaces,plugins,0.0000,0,6000,False
nikiforovall-claude-code-rules,claudemarketplaces,plugins,0.0072,0,729,False
dagster-io-skills,claudemarketplaces,plugins,0.0060,0,3225,False
toskysun-sub-agents,claudemarketplaces,plugins,0.0079,0,6000,False
st0012-ruby-skills,claudemarketplaces,plugins,0.0000,0,3007,False
j-morgan6-elixir-phoenix-guide,claudemarketplaces,plugins,0.0000,0,6000,False
rileyhilliard-claude-essentials,claudemarketplaces,plugins,0.0008,0,6000,False
ojowwalker77-claude-matrix,claudemarketplaces,plugins,0.0065,0,4084,False
johnmatthewtennant-mcp-voice-hooks,claudemarketplaces,plugins,0.0003,0,6000,False
jmagly-aiwg,claudemarketplaces,plugins,0.0006,0,6000,False
rightcapitalhq-chinese-style-guide,claudemarketplaces,plugins,0.0013,0,6000,False
jamditis-claude-skills-journalism,claudemarketplaces,plugins,0.0000,0,6000,False
