slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
intellegam-claude-plugins,claudemarketplaces,plugins,L1,0.9759,0.0013,0.0048,0.0025,0.2996,1348,False
aaronmaturen-claude-plugin,claudemarketplaces,plugins,L1,0.7518,0.0020,0.0290,0.0112,0.3053,2048,False
corbits-infra-corbits-skill,claudemarketplaces,plugins,L1,0.7647,0.0032,0.0610,0.0100,0.6628,1699,False
freeplayai-freeplay-plugin,claudemarketplaces,plugins,L1,0.8430,0.0017,0.0084,0.0052,0.1226,2048,False
norifumi3-cc-marketplace,claudemarketplaces,plugins,L1,0.9779,0.0013,0.0034,0.0027,0.4814,1150,False
myk-org-claude-code-config,claudemarketplaces,plugins,L1,0.9736,0.0013,0.0041,0.0026,0.2805,893,False
triptechtravel-slackbuzz-cli,claudemarketplaces,plugins,L1,0.6664,0.0021,0.0181,0.0136,0.1952,2048,False
wondersauce-claude-code-plugin,claudemarketplaces,plugins,L1,0.9150,0.0015,0.0121,0.0060,0.2180,2048,False
pluginagentmarketplace-custom-plugin-vue,claudemarketplaces,plugins,L1,0.8510,0.0016,0.0061,0.0040,0.0606,2048,False
sonesuke-docgraph,claudemarketplaces,plugins,L1,0.5249,0.0014,0.0035,0.0023,0.0377,2048,False
vgeshel-local-skills,claudemarketplaces,plugins,L1,0.9668,0.0013,0.0061,0.0031,0.4053,2048,False
rstarkey-s5y-plugins,claudemarketplaces,plugins,L1,0.9445,0.0012,0.0026,0.0023,0.1944,2048,False
sontixyou-claude-code-plugin-upgrader,claudemarketplaces,plugins,L1,0.9408,0.0014,0.0063,0.0046,0.3398,1010,False
teamtuna-tuna-claude-marketplace,claudemarketplaces,plugins,L1,0.9729,0.0012,0.0035,0.0026,0.5461,2048,False
involvex-involvex-claude-marketplace,claudemarketplaces,plugins,L1,0.9635,0.0013,0.0064,0.0037,0.3910,2048,False
yzlin-supaviber,claudemarketplaces,plugins,L1,0.8336,0.0018,0.0244,0.0085,0.1798,2048,False
kevnk-skillify,claudemarketplaces,plugins,L1,0.9452,0.0016,0.0036,0.0033,0.2537,2048,False
julien92-claude-code-marketplace,claudemarketplaces,plugins,L1,0.9523,0.0016,0.0066,0.0038,0.6721,1521,False
nothflare-feature-tree,claudemarketplaces,plugins,L1,0.8510,0.0016,0.0090,0.0071,0.2534,2048,False
takemi-ohama-ai-agent-marketplace,claudemarketplaces,plugins,L1,0.9383,0.0016,0.0067,0.0045,0.5721,2048,False
mindfold-ai-docs,claudemarketplaces,plugins,L0,0.9316,0.0022,0.0039,0.0025,0.0115,1466,False
jrc2139-claude-plugin-sema,claudemarketplaces,plugins,L3,0.9169,0.0090,0.8241,0.0132,0.7241,2048,False
pluginagentmarketplace-custom-plugin-computer-science,claudemarketplaces,plugins,L1,0.9212,0.0017,0.0061,0.0039,0.1317,2048,False
connsulting-claude-code-plugins,claudemarketplaces,plugins,L1,0.9788,0.0014,0.0033,0.0026,0.6039,975,False
kempsterrrr-personal-claude-skills,claudemarketplaces,plugins,L0,0.8572,0.0037,0.0059,0.0050,0.0217,67,False
entrinsik-org-claude-plugins,claudemarketplaces,plugins,L1,0.9600,0.0014,0.0026,0.0020,0.3606,737,False
dreamiurg-claude-session-topics,claudemarketplaces,plugins,L1,0.9523,0.0016,0.0057,0.0044,0.2783,2048,False
hereinthehive-gotrino-inclusion,claudemarketplaces,plugins,L1,0.8023,0.0013,0.0034,0.0025,0.0810,2048,False
breakds-claude.bds,claudemarketplaces,plugins,L1,0.9671,0.0017,0.0025,0.0020,0.4856,44,False
lefant-claude-code-plugins,claudemarketplaces,plugins,L1,0.9479,0.0015,0.0105,0.0041,0.1573,605,False
0oastro-kawai-girl-output-style,claudemarketplaces,plugins,L1,0.8625,0.0014,0.0023,0.0018,0.2234,2048,False
